レベル,関数,カテゴリ,起点,処理概要,コメント(英語),コメント(日本語),参照データ,ファイル,実行形態
,svSetFrameCentersPEstimate(),フレーム処理,タスクループ,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: ===============================================================================
 *
 * Name:    svSetFrameCentersPEstimate()
 *
 * Description: Set input フレーム distortion centers and find the center of each input
 *       view in the output フレーム
 *
 *
 * Input:
 *  sv:    Handle for the SV structure
 *
 * Returns:
 *
 * Effects:
 *
 ===============================================================================）","===============================================================================
 *
 * Name:        svSetFrameCentersPEstimate()
 *
 * Description: Set input frame distortion centers and find the center of each input
 *              view in the output frame
 *
 *
 * Input:
 *   sv:        Handle for the SV structure
 *
 * Returns:
 *
 * Effects:
 *
 ===============================================================================","===============================================================================
 *
 * Name:    svSetFrameCentersPEstimate()
 *
 * Description: Set input フレーム distortion centers and find the center of each input
 *       view in the output フレーム
 *
 *
 * Input:
 *  sv:    Handle for the SV structure
 *
 * Returns:
 *
 * Effects:
 *
 ===============================================================================","CameraIntrinsicParams, tivxPoseEstimationParams",kernels/srv/c66/core_pose_estimation.c,共通/その他
,transposeMatrix(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: Ncols: # of cols of input）,Ncols: # of cols of input,Ncols: # of cols of input,tivxPoseEstimationParams,kernels/srv/c66/core_pose_estimation.c,共通/その他
,tivxAddTargetKernelGenerate3Dbowl(),フレーム処理,関数呼び出し,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: local memory buffers, etc) >）","local memory buffers, etc) >","local memory buffers, etc) >",,kernels/srv/c66/vx_generate_3dbowl_target.c,共通/その他
,tivxRemoveTargetKernelGenerate3Dbowl(),フレーム処理,関数呼び出し,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: local memory buffers, etc) >）","local memory buffers, etc) >","local memory buffers, etc) >",,kernels/srv/c66/vx_generate_3dbowl_target.c,共通/その他
,tivxAddTargetKernelGenerateGpulut(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/srv/c66/vx_generate_gpulut_target.c,共通/その他
,tivxRemoveTargetKernelGenerateGpulut(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/srv/c66/vx_generate_gpulut_target.c,共通/その他
,tivxRegisterSrvTargetC66Kernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/srv/c66/vx_kernels_srv_target.c,共通/その他
,tivxUnRegisterSrvTargetC66Kernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/srv/c66/vx_kernels_srv_target.c,共通/その他
,tivxAddTargetKernelPointDetect(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: Note: Freeing this in order to allow for total allocated memory to reset）,Note: Freeing this in order to allow for total allocated memory to reset,Note: Freeing this in order to allow for total allocated memory to reset,,kernels/srv/c66/vx_point_detect_target.c,共通/その他
,tivxRemoveTargetKernelPointDetect(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/srv/c66/vx_point_detect_target.c,共通/その他
,tivxAddTargetKernelPoseEstimation(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/srv/c66/vx_pose_estimation_target.c,共通/その他
,tivxRemoveTargetKernelPoseEstimation(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/srv/c66/vx_pose_estimation_target.c,共通/その他
,tivxAddTargetKernelGlSrv(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/srv/gpu/vx_gl_srv_target.c,共通/その他
,tivxRemoveTargetKernelGlSrv(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/srv/gpu/vx_gl_srv_target.c,共通/その他
,tivxRegisterSrvTargetGpuKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/srv/gpu/vx_kernels_srv_target.c,共通/その他
,tivxUnRegisterSrvTargetGpuKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/srv/gpu/vx_kernels_srv_target.c,共通/その他
,tivxRegisterSrvKernels(),フレーム取得,関数呼び出し,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,,kernels/srv/host/vx_kernels_srv_host.c,共通/その他
,tivxSrvLoadKernels(),フレーム取得,関数呼び出し,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,,kernels/srv/host/vx_kernels_srv_host.c,共通/その他
,tivxSrvUnLoadKernels(),フレーム取得,関数呼び出し,"カメラ入力の受信やDMA転送を設定・実行してフレームを取得する（注記: These three lines only work on PC emulation mode ...
     * this will need to be updated when moving to target）","These three lines only work on PC emulation mode ...
         * this will need to be updated when moving to target","These three lines only work on PC emulation mode ...
     * this will need to be updated when moving to target",,kernels/srv/host/vx_kernels_srv_host.c,共通/その他
,tivxUnRegisterSrvKernels(),フレーム取得,関数呼び出し,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,,kernels/srv/host/vx_kernels_srv_host.c,共通/その他
,bowl_generation_3dlut_check(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: i）,i,i,"in_params, in_offset_params, calMatBuf",kernels/srv/test/test_generate_3dbowl.c,共通/その他
,bowl_generation_calmat_check(),その他,タスクループ,一般的な制御ロジックを実行する,,,"in_params, in_offset_params, calMatBuf",kernels/srv/test/test_generate_3dbowl.c,共通/その他
,gpulut_generation_lut_check(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"in_params, in_lens_params, lens_params",kernels/srv/test/test_generate_gpulut.c,共通/その他
,read_gpulut_file(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: lut_size is the number of entries in the LUT）,lut_size is the number of entries in the LUT,lut_size is the number of entries in the LUT,"in_params, in_lens_params, lens_params",kernels/srv/test/test_generate_gpulut.c,共通/その他
